Name,Address,City,Neighborhood,Latitude,Longitude,Specialty,Instagram,January_Notes
Télescope,"5 Rue Villedo, 75001 Paris, France",Paris,1st,,,"espresso, filter",,Often operates with short daytime hours; closed weekends per listing. Verify for early-January updat
Motors Coffee,"7 Rue des Halles, 75001 Paris, France",Paris,1st,,,"espresso, filter",,Weekday hours listed; weekend/holiday schedule not captured—check Instagram for any New Year adjustm
Café Nuances (Danielle Casanova),"25 Rue Danielle Casanova, 75001 Paris, France",Paris,1st,,,"espresso, filter",,Hours captured for Mon–Fri; verify weekends and holiday hours in January.
L'Arbre à Café,"10 Rue du Nil, 75002 Paris, France",Paris,2nd,,,"espresso, filter",,Closed Sundays per listing; expect reduced hours around New Year—confirm before visiting.
Substance Café,"30 Rue Dussoubs, 75002 Paris, France",Paris,2nd,,,"espresso, filter",,Generally open weekends per listing; watch for early-January holiday hours.
Boot Café,"19 Rue du Pont aux Choux, 75003 Paris, France",Paris,3rd,,,"espresso, filter",,Smaller shop—expect occasional early closes in winter; check Instagram for any January announcements
Tanat - Boutique,"96 Rue des Archives, 75003 Paris, France",Paris,3rd,,,"espresso, filter",,Open daily per listing; check for potential reduced hours around early-January public holidays.
Terres de Café (Blancs Manteaux),"36 Rue des Blancs Manteaux, 75004 Paris, France",Paris,4th,,,"espresso, filter",,Hours not captured in this session—confirm before visiting (Terres de Café sometimes posts holiday h
Terres de Café (Bourbon-le-Château),"4 Rue de Bourbon-le-Château, 75006 Paris, France",Paris,6th,,,"espresso, filter",,Hours not captured in this session—verify for early January (post-holiday reopening times can vary).
U.Graine,"5 Rue Littré, 75006 Paris, France",Paris,6th,,,"espresso, filter",,Hours not captured in this session—confirm before visiting; winter weekdays may be best.
Benchy,"50 Rue du Cherche-Midi, 75006 Paris, France",Paris,6th,,,"espresso, filter",,Hours not captured in this session—check Instagram for January schedule.
Coutume Café,"47 Rue de Babylone, 75007 Paris, France",Paris,7th,,,"espresso, filter",,Hours not captured in this session—confirm; some Paris cafés run reduced winter hours.
Terres de Café (La Bourdonnais),"67 Avenue de la Bourdonnais, 75007 Paris, France",Paris,7th,,,"espresso, filter",,Hours not captured in this session—verify; tourist area can mean stable daily hours.
Noir - Coffeeshop & Torréfacteur,"9 Rue de Luynes, 75007 Paris, France",Paris,7th,,,"espresso, filter",,Roaster-led shop; verify January opening days and any post-holiday closures.
Café Nuances (Madeleine),"5 Rue de l'Arcade, 75008 Paris, France",Paris,8th,,,"espresso, filter",,Hours not captured in this session—confirm especially if visiting on Sunday.
KB CaféShop (Trudaine / Pigalle),"53 Avenue Trudaine, 75009 Paris, France",Paris,9th,,,"espresso, filter",,Hours not captured in this session—verify; many Paris specialty cafés close one weekday (often Monda
Café Nuances (Galeries Lafayette),"35 Boulevard Haussmann, 75009 Paris, France",Paris,9th,,,"espresso, filter",,Department store location—expect holiday-related schedule shifts; verify day-of.
Ten Belles,"10 Rue de la Grange aux Belles, 75010 Paris, France",Paris,10th,,,"espresso, filter",,Good winter-friendly daytime hours; check for any early-January staffing/holiday changes.
Nilo,"73 Avenue Parmentier, 75011 Paris, France",Paris,11th,,,"espresso, filter",,Closed Mondays per listing; plan visits Tue–Sun and check for holiday exceptions.
Kott Cafe,"19 Rue Ternaux, 75011 Paris, France",Paris,11th,,,"espresso, filter",,Weekday-focused café; closed weekends per listing—ideal for a weekday coffee walk.
Coutume x La Grande Épicerie de Paris (Passy),"78 Rue de Passy, 75016 Paris, France",Paris,16th,,,"espresso, filter",,Department-store counter; verify hours for early January (can differ from standalone cafés).
Cafe Lomi,"3 ter Rue Marcadet, 75018 Paris, France",Paris,18th,,,"espresso, filter",,Closed Sundays per listing; likely a strong pick for beans + espresso on Sat/weekday.
MAME (Seefeld),"Seefeldstrasse 19, 8008 Zürich, Switzerland",Switzerland - Zurich,Seefeld (Kreis 8),,,"espresso, filter",@mamespecialtycoffee,"Winter hours listed; Swiss public holidays (Jan 1, and sometimes Jan 2) may mean reduced hours—check"
Bean Bank Coffee & Co,"Lagerstrasse 18c, 8004 Zürich, Switzerland",Switzerland - Zurich,Europaallee / Langstrasse (Kreis 4),,,"espresso, filter",,Sunday hours vary across sources; assume reduced/closed on some Swiss holidays—confirm before visiti
MAME (Geneva),"Rue des Voisins 8, 1205 Genève, Switzerland",Switzerland - Geneva,Plainpalais / Voisins (1205),,,"espresso, filter",@mamespecialtycoffee,Good daily coverage; watch for Swiss holiday adjustments early January.
Corde Coffee (31 Décembre),"Rue du 31 Décembre 32, 1207 Genève, Switzerland",Switzerland - Geneva,Eaux-Vives (1207),,,"espresso, filter",,Open weekends per listing; verify holiday hours around New Year.
Sleepy Bear Coffee Shop,"Rue du Petit-Chêne 8, 1003 Lausanne, Switzerland",Switzerland - Lausanne,Gare / Centre (1003),,,"espresso, filter",,Open daily per listing; January 1/2 can affect hours in Switzerland—confirm if traveling right after
Bel-Air Coffee,"Place Bel-Air 1, 1003 Lausanne, Switzerland",Switzerland - Lausanne,Bel-Air / Centre-ville (1003),,,"espresso, filter",,Central location; verify if any winter/holiday closures are posted.
Friend or Foe,"Schwanengasse 4, 3011 Bern, Switzerland",Switzerland - Bern,Innenstadt / Bahnhof (3011),,,"espresso, filter",,Closed Sundays; expect Swiss holiday impacts early January—confirm before visiting.
Bru Coffee Bar,"Klarastrasse 4, 4058 Basel, Switzerland",Switzerland - Basel,"Kleinbasel (Clara / Messe, 4058)",,,"espresso, filter",,Open weekends per listing; check for any Basel holiday closures in early January.
Daniska,"St. Johanns-Vorstadt 24, 4056 Basel, Switzerland",Switzerland - Basel,"St. Johann (Grossbasel, 4056)",,,"espresso, filter",,Open daily per listing; verify holiday hours around New Year.
Cafe Tacuba,"Baselstrasse 31, 6003 Luzern, Switzerland",Switzerland - Lucerne,Baselstrasse / Bruch (6003),,,"espresso, filter",,"Closed Sundays; Lucerne canton observes some early-January holidays (e.g., Epiphany in some years)—d"
Four Hundred,"Kasernenplatz 1, 6003 Luzern, Switzerland",Switzerland - Lucerne,Old Town / Kaserne (6003),,,"espresso, filter",,Closed Sundays; confirm for any early-January holiday schedule changes.
Farini (Apostoli),"Campo San Canciano 5301, Sestiere Cannaregio, 30121 Venezia VE, Italy",Venice,Cannaregio,,,"espresso, filter",,Good Cannaregio base; verify any winter off-days.
1000 Coffee & Bakery,"Rio Terà de la Maddalena, Cannaregio 2105, Campo della Maddalena, 30121 Venezia VE, Italy",Venice,Cannaregio,,,"espresso, filter",@1000coffee_bakery,Modern bakery/café concept; hours vary by listing (some show earlier opening). Check Instagram for c
Farini (San Lio),"Campo San Lio 5576, Sestiere Castello, 30122 Venezia VE, Italy",Venice,Castello,,,"espresso, filter",,Open until midnight per listing; confirm January hours (some shops shorten in winter).
